goos: linux
goarch: amd64
pkg: alloc_bench
cpu: DO-Regular
BenchmarkAlloc_128-4          	13288268	       106.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12832064	        88.83 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	10817586	       117.1 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12628078	        95.49 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	14768006	       107.5 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	13127913	       102.6 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12141890	       103.2 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12716574	        89.99 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	10612825	       100.5 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	 8949768	       121.3 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	 7902520	       137.5 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	 8347404	       128.6 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12340801	       124.9 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	11150328	       108.6 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	 9310959	       114.5 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	11411566	       169.6 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	10954483	       112.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12297242	        95.76 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-4          	12927231	       106.3 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	10819851	       116.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	11318720	       120.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 9853453	       110.3 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	11001981	       110.9 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 9309682	       119.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	10442136	       120.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 9947500	       102.7 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	12532327	       112.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	12531007	       105.7 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 8411479	       126.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 9565641	       114.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	11862703	       105.7 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	11293791	       118.8 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 8820183	       121.1 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 9362334	       137.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	11126370	       125.9 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	10612210	       121.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	 9902341	       106.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	11711990	       103.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-4          	12056948	       105.0 ns/op	     144 B/op	       1 allocs/op
